pid,id no,,es_print_ no,print,state_no,state,palette_no,palette,impression no,dimensions(wxh),watermark,impression notes,original site of installation,current location (if different),contact,contact_details,inventory_no,website_for_institutional_record,label,status,,Status,,Credit_line ,Status,,Terms_and_conditions,,Status,Request details,Status,Request details,Credit line ,Status,Request details,Terms and conditions,
objID25,flader25,,16,"Erasmus Loy (fl. c.1520–1570), Arms of Regensburg with a Putto, Undated; c.1530 (Zapalac), mid-sixteenth century (Hupp 1910); c.1550–70, c.1550–60 (Appuhn);  c.1560–70 (all of Loy's graphic work, Reichel). ",I,Colour woodcut from three blocks,a,"Black, red, orange-brown",3,,,Imprinted 'Des heilligen Römischen Reichs Stat=/ Regenspürg' (Regensburg / City of the Holy Roman Empire)., ,DE-Munich-Staatsarchiv (formerly Allgemeines Reichsarchiv),Hupp: 3/3 DE-Munich-Staatsarchiv (formerly Allgemeines Reichsarchiv),poststellestam.bayern.de, ,https://www.gda.bayern.de/muenchen/, ,!!!,,!!!,,,!!!,,,,!!!,,!!!,,,!!!,,,"Our copy initially belonged to the Bavarian General Reichsarchiv, one of our predecessor authorities, and then Otto Hupp, who exchanged it from the Reichsarchiv in 1920. From Otto Hupp's estate has apparently come back to us’, acknowledging the author (private communication) "
objID26,flader26,,16,"Erasmus Loy (fl. c.1520–1570), Arms of Regensburg with a Putto, Undated; c.1530 (Zapalac), mid-sixteenth century (Hupp 1910); c.1550–70, c.1550–60 (Appuhn);  c.1560–70 (all of Loy's graphic work, Reichel). ",I,Colour woodcut from three blocks,a,"Black, red, orange-brown",4,,,Imprinted 'Des heilligen Römischen Reichs Stat=/ Regenspürg' (Regensburg / City of the Holy Roman Empire)., ,DE-Regensburg-Historische Verein für Oberpfalz und Regensburg,Hupp: DE-Regensburg-Historische Verein für Oberpfalz und Regensburg,archivar@hvor.de, ,https://www.hvor.de/einrichtungen/archiv, ,!!!,,!!!,,,!!!,,,,!!!,,!!!,,,!!!,,,they no longer have the image. Lacking
objID27,flader27,,16,"Erasmus Loy (fl. c.1520–1570), Arms of Regensburg with a Putto, Undated; c.1530 (Zapalac), mid-sixteenth century (Hupp 1910); c.1550–70, c.1550–60 (Appuhn);  c.1560–70 (all of Loy's graphic work, Reichel). ",I,Colour woodcut from three blocks,a,"Black, red, orange-brown",5,,,Imprinted 'Des heilligen Römischen Reichs Stat=/ Regenspürg' (Regensburg / City of the Holy Roman Empire)., ,DE-Regensburg-Staatsarchiv,Hupp: 1/2 DE-Regensburg-Staatsarchiv,stadtarchiv@regensburg.de, ,https://www.regensburg.de/buergerservice/dienstleistungen/16163/nachforschungen-im-stadtarchiv.html, ,!!!,,!!!,,,!!!,,,,!!!,,!!!,,,!!!,,,they no longer have the image. Lacking
objID28,flader28,,16,"Erasmus Loy (fl. c.1520–1570), Arms of Regensburg with a Putto, Undated; c.1530 (Zapalac), mid-sixteenth century (Hupp 1910); c.1550–70, c.1550–60 (Appuhn);  c.1560–70 (all of Loy's graphic work, Reichel). ",I,Colour woodcut from three blocks,a,"Black, red, orange-brown",6,,,Imprinted 'Des heilligen Römischen Reichs Stat=/ Regenspürg' (Regensburg / City of the Holy Roman Empire)., ,DE-Regensburg-Staatsarchiv,Hupp: 2/2 DE-Regensburg-Staatsarchiv,stadtarchiv@regensburg.de, ,https://www.regensburg.de/buergerservice/dienstleistungen/16163/nachforschungen-im-stadtarchiv.html, ,!!!,,!!!,,,!!!,,,,!!!,,!!!,,,!!!,,,they no longer have the image. Lacking
objID29,flader29,,16,"Erasmus Loy (fl. c.1520–1570), Arms of Regensburg with a Putto, Undated; c.1530 (Zapalac), mid-sixteenth century (Hupp 1910); c.1550–70, c.1550–60 (Appuhn);  c.1560–70 (all of Loy's graphic work, Reichel). ",I,Colour woodcut from three blocks,a,"Black, red, orange-brown",7,,,Imprinted 'Des heilligen Römischen Reichs Stat=/ Regenspürg' (Regensburg / City of the Holy Roman Empire)., ,DE-Regensburg-Staatsarchiv,Hupp: Regensburg ? ,stadtarchiv@regensburg.de, ,https://www.regensburg.de/buergerservice/dienstleistungen/16163/nachforschungen-im-stadtarchiv.html, ,!!!,,!!!,,,!!!,,,,!!!,,!!!,,,!!!,,,they no longer have the image. Lacking
objID30,flader30,,16,"Erasmus Loy (fl. c.1520–1570), Arms of Regensburg with a Putto, Undated; c.1530 (Zapalac), mid-sixteenth century (Hupp 1910); c.1550–70, c.1550–60 (Appuhn);  c.1560–70 (all of Loy's graphic work, Reichel). ",I,Colour woodcut from three blocks,a,"Black, red, orange-brown",8,,,"Imprinted 'Des heilligen Römischen Reichs Stat=/ Regenspürg' (Regensburg / City of the Holy Roman Empire). (Appuhn: painting in light blue, reinforced with paste on the reverse)", ,DE-Regensburg-Historisches Museum (? recorded as 'Museen der Stadt Regensburg'),Appuhn: DE-Regensburg-Historisches Museum (? recorded as 'Museen der Stadt Regensburg'),museen@regensburg.de, ,https://www.regensburg.de/kultur/museen/alle-museen/historisches-museum, ,!!!,,!!!,,,!!!,,,,!!!,,!!!,,,!!!,,,"Integration into the online portal for each reproduction made available
(Resolution max. 80 dpi or 200 x 300 pixels)
? Up to one year €50.00
? Up to five years €100.00
? €50.00 for each additional five years
Use in digital media requires a special application and approval. It must be ensured that security mechanisms are in place that prevent copying or downloading of the digital template or that the data cannot be used or processed for further use. If this proof cannot be provided, the museums of the city of Regensburg cannot issue any permits.
"
objID31,flader31,,16,"Erasmus Loy (fl. c.1520–1570), Arms of Regensburg with a Putto, Undated; c.1530 (Zapalac), mid-sixteenth century (Hupp 1910); c.1550–70, c.1550–60 (Appuhn);  c.1560–70 (all of Loy's graphic work, Reichel). ",I,Colour woodcut from three blocks,a,"Black, red, orange-brown",9,580×381mm (Vienna). ,,Imprinted 'Des heilligen Römischen Reichs Stat=/ Regenspürg' (Regensburg / City of the Holy Roman Empire). (with washes in light blue and grey), ,AT-Vienna-Albertina,AT-Vienna-Albertina,repro@albertina.at, DG1984/104 ,ttps://sammlungenonline.albertina.at/?query=search=/record/objectnumbersearch=[DG1984/104]&showtype=record," Erasmus Loy (active in Regensburg around 1550 to 1570), City coat of arms of Regensburg, around 1550, 58 × 38.1 cm, xx",done,,done,,"Courtesy of ""Albertina, Vienna""",done,,"This work is in the public domain and may be used freely. Please indicate the location ""Albertina, Vienna"" when publishing. If you use the work for scientific publications, we would be pleased to receive a link to the digital publication or the sending of a specimen copy to ourlibrary.
We provide the work in a resolution up to 300dpi, approx. A7 (1200 pixels / long page).
This allows quarterly catalogue images to be printed or digital presentations and web applications to be implemented.
For higher resolution images or new images, please use ourorder formor contact ourreproduction department. More information about reproductions can be foundhere.
Click on the image to download it:",,to do,,to do,,,to do,,,
objID32,flader32,,17,"Anonymous  (????–????), Architectural Perspective with Horse, Undated; all of Loy's graphic work suggested as c.1560–70 (Reichel).",I,Colour woodcut from two blocks,a,"Black, red-brown",1,468×360mm ,"presumably Frederick Augustus I, King of Saxony (reigned 1806–27; Lugt 5482)",,DE-Dresden-St.-Bartholomäus-Kirche (destroyed),DE-Dresden-Staatliche Kunstsammlungen? (collection not named),DE-Dresden-Staatliche Kunstsammlungen? (collection not named),Angela.Rietschel@skd.museum>,A 135708,https://skd-online-collection.skd.museum/Kollektion," Loy, Erasmus
(mentioned around 1520/1570)
(Manufacturer), Fantasy architecture with a lying figure and a jumping horse
1560/1570
Woodcut in two colors
490x380mm",done,,done,,"Inv. no. A 135708: Kupferstich-Kabinett, Staatliche Kunstsammlungen Dresden, Photo: Andreas Diesend",done,,,,to do,,to do,,,to do,,,
objID33,flader33,,18,"Anonymous (after Erasmus Loy)  (15??–15??), Copy of Ornamental Design with Busts of Roman Emperors and Empresses, Undated; c.1570.",I,Colour woodcut from two blocks,a,"Black, red-brown",1,?,,, ,DE-Nuremberg-Germanisches Nationalmuseum,Kurfürstenbett' DE-Nuremberg-Germanisches Nationalmuseum,https://www.gnm.de/your-museum-in-nuremberg/services/contact/,HG9091,https://www.gnm.de/your-museum-in-nuremberg/, ,order placed,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID34,flader34,,19,"Hans Rogel the Elder (1532–1592), View of Augsburg ('Des hailigen Romischen Reichs Statt Augspurg'), Dated 1563",I,Colour woodcut from at least two blocks,a,Unknown,1,420×570mm,,,,"DE-Berlin-Kupferstichkabinett, Staatliche Museen zu Berlin ","DE-Berlin-Kupferstichkabinett, Staatliche Museen zu Berlin b/w reproduction: Strauss 1975 II.862-863.1 ",kontakt@bpk-bildagentur.de., ,https://recherche.smb.museum/?language=de&question=view+of+augsburg&limit=15&controls=none&collectionKey=KK*, ,ready to order,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID35,flader35,,20,"Lorenz Stör (c.1530–after 1621), Title Border with Geometric Forms, Undated",I,"Colour woodcut from two blocks; title page to Geometria et Perspectiva, ill. Lorenz Stör (Augsburg: Hans Rogel, 1567), VD16 S 9209",a,"Black, brown",1,,,, ,"US-Cambridge, MA-Houghton Library, Harvard University","US-Cambridge, MA-Houghton Library, Harvard University. Wood 2003",imaging@fas.harvard.edu.,HOLLIS number - 990066753900203941,http://id.lib.harvard.edu/alma/990066753900203941/catalog,"Lorenz Stör  b. ca.1530, d. after 1621, Hierinn etliche zerbrochne Gebe? den Schreiner? in eingelegter Arbait dienstlich, (Augsburg 1567), xx",!!!,,!!!,,,!!!,,price not approved for website use,,to do,,to do,,,to do,,,
objID36,flader36,,20,"Lorenz Stör (c.1530–after 1621), Title Border with Geometric Forms, Undated",I,"Colour woodcut from two blocks; title page to Geometria et Perspectiva, ill. Lorenz Stör (Augsburg: Hans Rogel, 1567), VD16 S 9209",a,"Black, brown",2,38.0 x 28.r cm,,, ,"Kunstsammlungen der Veste Coburg,(Wood 2003)","Kunstsammlungen dcr Veste Coburg,(Wood 2003)",https://veste.kunstsammlungen-coburg.de/en/visit/photo-orders_termsofuse/,inv. no. Z 39011, , ,!!!,,!!!,,,!!!,,price not approved for website use,,to do,,to do,,,to do,,,"The price and conditions for using the image online and in print are as follows, 
• Online - €10 and online use is free
Our permission must be sought. The Kunstsammlungen must be informed of the URL of the Internet page. Photo credits should read “Kunstsammlungen der Veste Coburg” and a link be included to www.kunstsammlungen-coburg.de.
• In print - €10 and €25 for circulation under 500 copies or €50 over 500 copies.
Permission from the Kunstsammlungen to reproduce images, and the charges made, are valid for one publication only. The Kunstsammlungen is to receive one complimentary copy of each publication. Publication of images must be accompanied by the credit “Kunstsammlungen der Veste Coburg"". The permission can only be regarded as granted once the reproduction costs are paid. The permission for reproduction is payable immediately upon being granted. Unused reproduction rights will not be refunded. If the information as to the source of the photograph is absent or erroneous, the reproduction charge shall be doubled. For keeping further rights the orderer is responsible (copyrights at shown works of art, personality rights, rights from the mark law).
"
objID37,flader37,,20,"Lorenz Stör (c.1530–after 1621), Title Border with Geometric Forms, Undated",I,"Colour woodcut from two blocks; title page to Geometria et Perspectiva, ill. Lorenz Stör (Augsburg: Hans Rogel, 1567), VD16 S 9209",a,"Black, brown",3,,,, ,UK-London-British Library,UK-London-British Library,https://www.bl.uk/digitisation-services/services/ordering-images,General Reference Collection 1505/157.,http://explore.bl.uk/primo_library/libweb/action/display.do?tabs=moreTab&ct=display&fn=search&doc=BLL01003511395&indx=1&recIds=BLL01003511395&recIdxs=0&elementId=0&renderMode=poppedOut&displayMode=full&frbrVersion=&frbg=&&dscnt=0&scp.scps=scope%3A%28BLCONTENT%29&vl(2084770704UI0)=any&tb=t&vid=BLVU1&mode=Basic&srt=rank&tab=local_tab&dum=true&vl(freeText0)=GEOMETRIA%20ET%20PERSPECTIVA&dstmp=1666891742141, ,!!!,,!!!,,,!!!,,price not approved for website use,,to do,,to do,,,to do,,,We would require the image to be no larger than 2000 pixels on the long edge please.
objID38,flader38,,20,"Lorenz Stör (c.1530–after 1621), Title Border with Geometric Forms, Undated",I,"Colour woodcut from two blocks; title page to Geometria et Perspectiva, ill. Lorenz Stör (Augsburg: Hans Rogel, 1567), VD16 S 9209",a,"Black, brown",4,,,, ,DE-Munich-Staatliche Graphisches Sammlung,DE-Munich-Staatliche Graphisches Sammlung (Wood 2003) loose,photothek@graphische-sammlung.mwn.de, ,https://www.sgsm.eu/bibliothek-library/bibliothek-library/, ,!!!,,!!!,,,!!!,,price not approved for website use,,to do,,to do,,,to do,,,
objID39,flader39,,20,"Lorenz Stör (c.1530–after 1621), Title Border with Geometric Forms, Undated",I,"Colour woodcut from two blocks; title page to Geometria et Perspectiva, ill. Lorenz Stör (Augsburg: Hans Rogel, 1567), VD16 S 9209",a,"Black, brown",5,,,, ,DE-Nuremberg-Germanisches Nationalmuseum,DE-Nuremberg-Germanisches Nationalmuseum (Wood 2003),https://www.gnm.de/your-museum-in-nuremberg/services/contact/,,https://www.gnm.de/your-museum-in-nuremberg/, ,!!!,,!!!,,,!!!,,,,!!!,,!!!,,,!!!,,,
objID40,flader40,,20,"Lorenz Stör (c.1530–after 1621), Title Border with Geometric Forms, Undated",I,"Colour woodcut from two blocks; title page to Geometria et Perspectiva, ill. Lorenz Stör (Augsburg: Hans Rogel, 1567), VD16 S 9209",a,"Black, brown",6,,,, ,DE-Wolfenbüttel-Herzog August Bibliothek,DE-Wolfenbüttel-Herzog August Bibliothek ,ed.bah@tfnuksua, 36.2.1 Geom. 2° (2),https://opac.lbs-braunschweig.gbv.de/DB=2/SET=1/TTL=1/SHW?FRST=8," Lorenz Stor, Geometria et Perspectiva: Hier Jnn Etliche Zerbrochne Gebew den Schrein?r Jn eingelegter Arbait dienstlich auch vil andern Liebhabern zu sond?r gefallen geordnet vnnd gestelt, (Augsburg : Rogel, Hans, 1567), xx",done,,done,,Geometria et Perspectiva by Lorenz Stor. Courtesy of Herzog August Bibliothek Wolfenbüttel: A: 36.2.1 Geom. 2° (2). © Herzog August Bibliothek Wolfenbüttel <http://diglib.hab.de/inkunabeln/14-astron/start.htm>.  Licensed under CC BY-SA 3.0 ( https://creativecommons.org/licenses/by-sa/3.0/de/).,done,,"Explanation
The digital services of the Wolfenbüttel Digital Library, which are available online, are freely available for use by all interested parties worldwide under a CC BY-SA license. In addition to the general restrictions set out in http://creativecommons.org/licenses/by-sa/3.0/de/legalcode, the prerequisite for subsequent use is that a) the author is named in the form described below and that b) the offer is made under the same conditions, i.e. above all free and free of charge.

When attributing (BY), the following must be observed (cf. CC BY-SA, Sections 4.a and 4.c). Guarantees of origin attached in digital copies - typically the baseboard - may not be removed as proof. At the same time, proof must be attached to the offer page at a suitable place, but in any case within the domain of the offer in the following form: If a separate persistent link (PURL, URN, etc.) is used, the persistent link of the Wolfenbüttel Digital Library must be above, below or next to your own persistent link.

In print:

Herzog August Bibliothek Wolfenbüttel <[Persistent URL]>

© Herzog August Bibliothek Wolfenbüttel <http://diglib.hab.de/inkunabeln/14-astron/start.htm>
or
© HAB Wolfenbüttel: 14 Astron. <http://diglib.hab.de/inkunabeln/14-astron/start.htm>

On the Internet (HTML source code):

© Herzog August Bibliothek Wolfenbüttel <<a href=""[Persistent URL]"">Persistent URL</a>> 
or
© HAB Wolfenbüttel <<a href=""[Persistent URL]"">[Signature]</a>> 

e.g.
Herzog August Bibliothek Wolfenb&#x00FC;ttel
<<a href="" http://diglib.hab.de/inkunabeln/14-astron/start.htm"">14 Astron.</a>>


If there is an additional information about the author of a contribution on the page, e.g. © [author name], the following form must be observed:

In print:

© [Author name]. Work originally published by HAB Wolfenbüttel <Persistent URL>

On the Internet (HTML source code):

© [Author name]. Work originally published by HAB Wolfenb&#x00FC;ttel <<a href=""[Persistent URL]"">Persitent URL or Signature</a>>

e.g.
© Flemming Shock. Work originally published by HAB Wolfenb&#x00FC;ttel
<<a href=""http://diglib.hab.de/edoc/ed000155/start.htm"">http://diglib.hab.de/edoc/ed000155/start.htm</a>> 

When making available under the same conditions, it should be noted that the work must be made available freely, free of charge and in a spirit of promoting culture and science. If this is guaranteed, commercial use, e.g. in Wikipedia or an open access, is also possible under CC BY-SA publishing scientific publisher. This license does not cover typical commercial products such as publishing magazines, which users have to purchase for a fee, access-restricted online offers and types of use that are aimed exclusively at advertising or other non-scientific purposes. For all the latter cases, a chargeable special use must be agreed.

Offers that are not freely available on the library's homepage are subject to separate rules of use, which can be requested from the information provided by the library (auskunft@hab.de). In all other respects, the User Regulations for State Libraries and the Fee Schedule for the Libraries of the State of Lower Saxony in the currently valid version in conjunction with the Lower Saxony Administrative Costs Act shall apply.",,to do,,to do,,,to do,,,
objID41,flader41,,20,"Lorenz Stör (c.1530–after 1621), Title Border with Geometric Forms, Undated",I,"Colour woodcut from two blocks; title page to Geometria et Perspectiva, ill. Lorenz Stör (Augsburg: Hans Rogel, 1567), VD16 S 9209",b,Unknown,1,,,, ,DE-Augsburg -Stadtbibliothek,DE-Augsburg -Stadtbibliothek, info@sustb-augsburg.de,4 Kst 2212,"'Stör, Lorenz: Geometria et Perspectiva', Image 5 of 32 | MDZ (digitale-sammlungen.de)","Lorenz Stör, Geometria et Perspectiva, HierJnn Etliche Zerbrochne Gebew, den Schrein?r Jn eingelegter Arbait dienstlich, auch vil andern Liebhabern Zu sond?r gefallen geordnet vnnd gestelt, Augspurg, Rogel, 1567, xx",done,,done,,Titlepage of Geometria et Perspectiva by Lorenz Stor. Courtesy of Bayerische Staatsbibliothek. Licensed under NoC-NC/1.0 (https://rightsstatements.org/page/NoC-NC/1.0/?language=en).,done,,,,to do,,to do,,,to do,,,
objID42,flader42,,20,"Lorenz Stör (c.1530–after 1621), Title Border with Geometric Forms, Undated",I,"Colour woodcut from two blocks; title page to Geometria et Perspectiva, ill. Lorenz Stör (Augsburg: Hans Rogel, 1567), VD16 S 9209",b,Unknown,2,,,, ,HU-Budapest-Orsza?gos Sze?che?nyi Ko?nyvta?r (National Library) ,HU-Budapest-Orsza?gos Sze?che?nyi Ko?nyvta?r (National Library) ,inform@oszk.hu,Ant. 1613(2),https://oszk.hu/mek, ,order placed,,to do,,,to do,,,,to do,,to do,,,to do,,,
objID43,flader43,,20,"Lorenz Stör (c.1530–after 1621), Title Border with Geometric Forms, Undated",I,"Colour woodcut from two blocks; title page to Geometria et Perspectiva, ill. Lorenz Stör (Augsburg: Hans Rogel, 1567), VD16 S 9209",b,Unknown,3,,,, ,"DE-Göttingen-Kunstsammlung, Georg-August-Universität? OR Niedersächsische Staats- und Universitätsbibliothek?","DE-Göttingen-Kunstsammlung, Georg-August-Universität? OR Niedersächsische Staats- und Universitätsbibliothek?",hg-info@sub.uni-goettingen.de,2 BIBL UFF 219,https://discovery.sub.uni-goettingen.de/id%7Bcolon%7D134303245,"Lorenz Stor,  Geometria Et Perspectiva. HierJnn Etliche Zerbrochne Gebew, den Schreiner[n] Jn eingelegter Arbait dienstlich, auch vil andern Liebhabern Zu sonder[n] gefallen geordnet vnnd gestelt Durch Lorentz Stöer Maller Burger Jnn Augspurg, (Augsburg: Michael Manager, 1567), xxxx",!!!,,!!!,,,!!!,,price not approved for website use,,to do,,to do,,,to do,,,
objID44,flader44,,20,"Lorenz Stör (c.1530–after 1621), Title Border with Geometric Forms, Undated",I,"Colour woodcut from two blocks; title page to Geometria et Perspectiva, ill. Lorenz Stör (Augsburg: Hans Rogel, 1567), VD16 S 9209",b,Unknown,4,,,, ,DE-Schweinfurt-Bibliothek Otto Scha?fer ,DE-Schweinfurt-Bibliothek Otto Scha?fer ,info@museumottoschaefer.de ,OS 844,http://www.museumottoschaefer.de/de/kontakt,,!!!,,!!!,,,!!!,,,,!!!,,!!!,,,!!!,,,"unfortunately, I have to inform you, that the book you requested is not longer in our collection.
Otto Schäfer sold parts of his collection during his lifetime, before the museum was given to public property. Today it is no longer comprehensible where these objects are located."
objID45,flader45,,20,"Lorenz Stör (c.1530–after 1621), Title Border with Geometric Forms, Undated",II,"Colour woodcut from two blocks; title page to Geometria et Perspectiva, ill. Lorenz Stör (Augsburg: Michael Manger, 1567), VD16 S 9208",a,Unknown,1,,,, ,DE-Neuburg an der Donau-Staatliche Bibliothek ,DE-Neuburg an der Donau-Staatliche Bibliothek , info@sbnd.de,2 Art. 44,https://opac.sbnd.de/00/bvnr/BV010656517," Lorenz Stor, Geometria et Perspectiva, HierInn Etliche Zerbrochne Gebew den Schreiner[n] In eingelegter Arbait dienstlich auch vil andern Liebhabern Zu sonder[n] gefallen geordnet vnnd gestelt, (Augspurg, Gedruckt durch Michael Manger, 1567), xx",!!!,,!!!,,,!!!,,,,!!!,,!!!,,,!!!,,,"Let’s just provide a link to their collection record rather than an image. But please keep this in the list above—if budget allows, we’ll include it."
objID46,flader46,,20,"Lorenz Stör (c.1530–after 1621), Title Border with Geometric Forms, Undated",II,"Colour woodcut from two blocks; title page to Geometria et Perspectiva, ill. Lorenz Stör (Augsburg: Michael Manger, 1567), VD16 S 9208",a,Unknown,2,,,, ,IT-Torino-Biblioteca nazionale universitaria,IT-Torino-Biblioteca nazionale universitaria,bu-to@cultura.gov.it,A-14369,https://bnto.comperio.it/opac/detail/view/bnto:catalog:274141,,!!!,,!!!,,,!!!,,,,!!!,,!!!,,,!!!,,,"if the image is published on an institutional website created for scientific and research purposes and NON-PROFIT (to access the images must NOT be required subscription / payment, etc.), the use does not involve charges. It is however necessary to indicate the location of the volume, the paper reproduced and the words ""Ministry of Culture, National University Library of Turin, prohibition of reproduction"". The image cannot be freely downloaded by users of the network."
objID47,flader47,,20,"Lorenz Stör (c.1530–after 1621), Title Border with Geometric Forms, Undated",II,"Colour woodcut from two blocks; title page to Geometria et Perspectiva, ill. Lorenz Stör (Augsburg: Michael Manger, 1567), VD16 S 9208",a,Unknown,3,,,, ,DE-Rostock-Universita?tsbibliothek,DE-Rostock-Universita?tsbibliothek,information-suedstadt.ub@uni-rostock.de,"  
Dh-47","https://kxp.k10plus.de/DB=2.1/PPNSET?PPN=134303245&COOKIE=U999,K999,D2.1,E995e75e8-3,I0,B9994++++++,SY,QDEF,A,H12,,73,,76-78,,88-90,NGAST,R86.179.146.15,FN"," Lorenz Stor, Geometria Et Perspectiva. HierJnn Etliche Zerbrochne Gebew, den Schreiner[n] Jn eingelegter Arbait dienstlich, auch vil andern Liebhabern Zu sonder[n] gefallen geordnet vnnd gestelt Durch Lorentz Stöer Maller Burger Jnn Augspurg, (Augspurg: Manger, 1567) xx",!!!,,!!!,,,!!!,,,,!!!,,!!!,,,!!!,,,"or conservation reasons, we are unfortunately unable to make digital recordings of our requested volume Dh-47."
objID48,flader48,,20,"Lorenz Stör (c.1530–after 1621), Title Border with Geometric Forms, Undated",III,"Woodcut; title page to HierJnn Etliche Zerbrochne Gebew [Geometria et perspectiva], ill. Lorenz Stöer (Augsburg: Stefan Michelspacher, 1617), VD17 12:648754U",a,black,1,,,"(the block comprising text, with the publication information plugged, and black elements of the design)", ,DE-Munich-Bayerische Staatsbibliothek,DE-Munich-Bayerische Staatsbibliothek,information@bsb-muenchen.de,"Res/2 Techn. 18, fol. [1]r",https://opacplus.bsb-muenchen.de/search?id=166135223&db=100&View=default,"Lorenz Stor, Geometria et Perspectiva: HierInn Etliche Zerbrochne Gebew den Schreiner[n] In eingelegter Arbait dienstlich auch vil andern Liebhabern Zu sonder[n] gefallen geordnet vnnd gestelt; Durch Lorentz Stöer Maller Burger Inn Augspurg, (Michael Manger, Augsburg, 1617), xx",!!!,,!!!,,,!!!,,price not approved for website use,,to do,,to do,,,to do,,Please make sure that the resolution of the images on the website will not be higher than 150 dpi JPG.,"Similarly, if the publication on paper is of a scientific nature, no charges are due. However, the data indicated above (location, wording, etc.) must be entered."
objID49,flader49,,20,"Lorenz Stör (c.1530–after 1621), Title Border with Geometric Forms, Undated",III,"Woodcut; title page to HierJnn Etliche Zerbrochne Gebew [Geometria et perspectiva], ill. Lorenz Stöer (Augsburg: Stefan Michelspacher, 1617), VD17 12:648754U",b,black,1,,,(copy of the two-colour title border), ,DE-Munich-Bayerische Staatsbibliothek,DE-Munich-Bayerische Staatsbibliothek,information@bsb-muenchen.de," Res/2 Techn. 18, fol. [2]r",https://opacplus.bsb-muenchen.de/search?id=166135223&db=100&View=default,"Lorenz Stor, Geometria et Perspectiva: HierInn Etliche Zerbrochne Gebew den Schreiner[n] In eingelegter Arbait dienstlich auch vil andern Liebhabern Zu sonder[n] gefallen geordnet vnnd gestelt; Durch Lorentz Stöer Maller Burger Inn Augspurg, (Michael Manger, Augsburg, 1617), xx",!!!,,!!!,,,!!!,,price not approved for website use,,to do,,to do,,,to do,,Please make sure that the resolution of the images on the website will not be higher than 150 dpi JPG.,"Similarly, if the publication on paper is of a scientific nature, no charges are due. However, the data indicated above (location, wording, etc.) must be entered."
objID50,flader50,,20,"Lorenz Stör (c.1530–after 1621), Title Border with Geometric Forms, Undated",III,"Woodcut; title page to HierJnn Etliche Zerbrochne Gebew [Geometria et perspectiva], ill. Lorenz Stöer (Augsburg: Stefan Michelspacher, 1617), VD17 12:648754U",c,Unknown (lacking),1,,,, ,DE-Munich-Bayerische Staatsbibliothek,DE-Munich-Bayerische Staatsbibliothek,information@bsb-muenchen.de,,https://opacplus.bsb-muenchen.de/search?id=166135223&db=100&View=default,"Lorenz Stor, Geometria et Perspectiva: HierInn Etliche Zerbrochne Gebew den Schreiner[n] In eingelegter Arbait dienstlich auch vil andern Liebhabern Zu sonder[n] gefallen geordnet vnnd gestelt; Durch Lorentz Stöer Maller Burger Inn Augspurg, (Michael Manger, Augsburg, 1617), xx",!!!,,!!!,,,!!!,,price not approved for website use,\,to do,,to do,,,to do,,, Flader50 lacking
objID51,flader51,,21,"Lorenz Stör (c.1530–after 1621), Perspective with Birds, Undated; before 1569 Wood",I,Colour woodcut from two blocks,a,Two greens,1,290×195mm. ,,,"Purchased from: Christopher Mendez. Previous owner
Previous owner/ex-collection: Ladislaus von Hoffmann
Previous owner/ex-collection: August Laube (purchased at Hartung & Hartung, 15,05,1997, no. 4326)",UK-London-British Museum,UK-London-British Museum,sales@bmimages.com,"20,177,022.13",print | British Museum,"Lorenz Stor, Architectural Ruins with Birds Above, Augsburg c1555-c1567, Height: 213 millimetres (print) - width: 155 millimetres (print), Height: 239 millimetres (sheet) - Width: 173 millimetres (sheet), xx.",done,,done,,"Architectural Ruins with Birds Above, BY Lorenz Stor. Licensed under (CC BY-NC-SA 4.0)  https://creativecommons.org/licenses/by-nc-sa/4.0/.  © The Trustees of the British Museum.",done,,"Here is what the BM’s copyright information page states for the low-res images that it provides free for download under CC BY-NC-SA 4.0 , I have followed up with my contact at the BM for confirmation.
For the avoidance of doubt, the British Museum considers the following to be commercial activities (this list is not exhaustive): 
• Anything that is in itself charged for, including textbooks and academic books or journals 
• An individual's website or blog that is used as a platform to promote or conduct commercial activities (for example, to sell products created by or services provided by such an individual) 
• A commercial organization's website or blog, including trading arms of charities freely distributed leaflets or merchandise that promote goods or services 

The British Museum considers the following to be non-commercial activities (this list is not exhaustive): 
• Use in websites as long as they are informational, academic or research-oriented and not linked to any commercial activity 

Response from the BM
If your use fulfils the criteria for the CC licence, then you can use the images under that licence and can order the images through the Free Image Service. Please see my earlier email. As mentioned, that licence is separate from us and I can’t advise any further on it.
",,to do,,to do,,,to do,,,
